,,,ss_time,ss_time,ss_time
ss,,,1,2,3
Crew,Gr/Cl,Race,,,
Agathokleous G,C3 F2,Korinthou,8:48.81,8:38.81,8:42.48
Anastassopoulo,C4 F2,Korinthou,9:23.06,9:06.67,9:06.45
Antoniou K.  -,C3 F2,Korinthou,8:43.81,8:51.14,9:13.15
Chatzigakis G.,C3 F2,Korinthou,9:03.49,9:09.03,9:08.18
Delaportas Gio,4,Korinthou,9:57.06,9:38.17,9:36.81
Dimopoulos Ant,C4 F2,Korinthou,8:24.74,8:14.74,-
Dimos Giorgos ,C3 F2,Korinthou,9:27.19,9:26.65,9:21.64
Englezos T.  -,C6 F2,Korinthou,9:37.46,9:34.52,9:28.44
Flandy  - Stef,C3,Korinthou,8:28.57,8:18.65,8:12.62
Gazetas Dionis,C6 F2,Korinthou,9:49.12,9:21.84,9:15.10
Gazetas H.  - ,C2,Korinthou,9:12.03,9:17.72,8:53.25
Giannakopoulos,C5 F2,Korinthou,9:01.93,8:52.57,8:50.97
Ismailos Panos,C2,Korinthou,8:02.56,7:55.90,7:59.64
Kalamaras Teo ,C3 F2,Korinthou,9:29.92,9:21.04,9:09.79
Kattis Dimítri,C6 F2,Korinthou,11:05.11,11:01.19,10:48.24
Kimonidis Hect,TZ1,Korinthou,9:49.24,9:38.50,-
Kokkinos Steli,C6 F2,Korinthou,9:15.92,9:16.19,9:22.88
Kotsopoulos An,C3 F2,Korinthou,10:09.08,9:58.39,9:54.70
Lefkaditis Sav,C3 F2,Korinthou,8:10.72,8:05.50,-
Likomitros D. ,C3 F2,Korinthou,10:09.10,9:39.60,9:29.38
Manetas Giorgo,C4 F2,Korinthou,9:23.71,9:07.82,9:09.71
Mavraganis A. ,C4 F2,Korinthou,9:38.96,9:11.78,9:25.74
Mider  - Nasso,C2,Korinthou,8:05.99,-,-
Panoutsos T.  ,C5 F2,Korinthou,8:37.88,8:27.88,8:31.85
Paradissis P. ,C2,Korinthou,8:22.48,8:07.37,8:05.68
Pavli Marialen,C6 F2,Korinthou,14:51.32,19:59.26,-
Roustemis A.  ,4,Korinthou,9:08.56,8:57.49,14:01.71
Sias Haralambo,C2,Korinthou,10:03.99,9:28.44,9:26.03
Sotiropoulos N,C6 F2,Korinthou,9:32.92,9:18.23,9:31.31
Toussoulis K. ,C6 F2,Korinthou,9:03.77,9:10.51,9:08.54
Tsakalos Athan,C6 F2,Korinthou,8:42.01,8:44.74,8:51.49
Tsakalos Theod,C5 F2,Korinthou,8:40.83,8:24.49,8:23.51
Tsatsaris Aris,C2,Korinthou,8:35.27,8:35.70,8:41.03
Zygogiannis K.,C2,Korinthou,8:33.24,8:24.40,9:17.46
