,,,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4
Crew,Gr/Cl,Race,,,,
Agelis Elias  ,C6 F2,Fthiotidas_G,15:04.36,24:51.36,17:04.88,-
Angelov Mirosl,C1,Fthiotidas_G,13:15.36,22:00.26,12:55.10,21:41.85
Antoniou K.  -,C3 F2,Fthiotidas_G,14:06.87,-,-,-
Badounas I.  -,C2,Fthiotidas_G,12:59.85,21:43.07,13:11.58,21:25.76
Baxevanakis A.,C6,Fthiotidas_G,16:47.96,26:11.19,16:26.56,27:13.12
Chatzigakis Gi,C3 F2,Fthiotidas_G,14:34.71,24:06.50,-,-
Chatzimarkos P,C3 F2,Fthiotidas_G,13:00.96,21:43.12,12:50.83,21:38.40
Davaris Nikos ,C2,Fthiotidas_G,14:13.27,-,-,-
Flandy  - Stef,C1,Fthiotidas_G,13:35.77,22:15.79,-,-
Giannakopoulos,C5 F2,Fthiotidas_G,14:59.52,24:05.83,15:39.96,-
Halkias Efthim,C3,Fthiotidas_G,13:11.64,21:15.84,16:52.56,-
Ismailos Panos,C2,Fthiotidas_G,13:02.57,21:44.45,13:05.33,21:40.57
Kalamaras Teo ,C5 F2,Fthiotidas_G,15:36.92,-,-,-
Karanikolas E.,C5 F2,Fthiotidas_G,12:57.42,21:49.18,13:06.01,21:21.90
Kehagias Giorg,C1,Fthiotidas_G,11:58.20,20:07.40,11:47.12,19:46.14
Kirkos Panagio,C2,Fthiotidas_G,12:38.43,20:48.59,12:24.14,20:59.08
Koutsoukos Ang,C4 F2,Fthiotidas_G,16:21.56,-,-,-
Laos Costas  -,C2,Fthiotidas_G,23:05.53,22:38.43,13:44.26,22:42.08
Manouskos Elia,C6 F2,Fthiotidas_G,14:57.28,24:44.53,20:06.46,24:42.33
Milonas K.  - ,C4 F2,Fthiotidas_G,14:23.79,26:01.29,14:46.11,23:22.81
Moshopoulos N.,C6 F2,Fthiotidas_G,15:59.85,26:12.20,15:54.95,26:21.79
Panteli Chryso,C5 F2,Fthiotidas_G,13:53.73,22:20.29,13:42.10,22:47.08
Philippedes Yo,C1,Fthiotidas_G,12:04.43,20:11.22,18:48.01,19:55.60
Rahoutis Fanis,C6 F2,Fthiotidas_G,17:03.85,27:41.98,17:33.08,31:34.56
Rigas Giorgos ,C3 F2,Fthiotidas_G,14:55.96,-,-,-
Roiniotis S.  ,C3 F2,Fthiotidas_G,14:18.39,28:56.20,14:16.03,24:06.54
Sotiropoulos N,C6 F2,Fthiotidas_G,15:54.37,25:49.17,15:53.93,25:55.13
Stavropoulos D,C6 F2,Fthiotidas_G,14:43.30,24:43.63,14:47.94,25:41.76
Theocharopoulo,C2,Fthiotidas_G,13:38.58,22:35.72,13:35.75,23:54.43
Tsakalos Athan,C6 F2,Fthiotidas_G,14:13.10,23:49.04,14:36.46,24:29.28
Tsouloftas Ale,C1,Fthiotidas_G,11:42.34,19:31.34,11:34.70,19:21.76
Tzemos Konstan,C2,Fthiotidas_G,18:52.24,-,-,-
Vigopoulos Nik,C5 F2,Fthiotidas_G,14:33.59,23:52.65,14:11.77,23:46.98
Xanthakos M.  ,C1,Fthiotidas_G,13:31.56,21:41.98,13:08.02,21:11.86
