Pos.,No.,Driver / Co-driver Vehicle,Group,SS time,Aver. speed sec/km,Diff.Leader Diff.Prev.,ss
1,4,Lappi  Esapekka  /  Ferm  Janne  Hyundai i20 N Rally1 Hybrid,RC1,00:02:24.9,79.50 0.00,00:00:00.0 00:00:00.0,1
2,8,Tänak  Ott  /  Järveoja  M.  Ford Puma Rally1 Hybrid,RC1,00:02:25.1,79.39 0.06,00:00:00.2 00:00:00.2,1
3,11,Neuville  T.  /  Wydaeghe  M.  Hyundai i20 N Rally1 Hybrid,RC1,00:02:25.4,79.23 0.16,00:00:00.5 00:00:00.3,1
4,18,Katsuta  T.  /  Johnston  Aaron  Toyota GR Yaris Rally1 Hybrid,RC1,00:02:25.8,79.01 0.28,00:00:00.9 00:00:00.4,1
5,69,Rovanperä  K.  /  Halttunen  Jonne  Toyota GR Yaris Rally1 Hybrid,RC1,00:02:26.1,78.85 0.37,00:00:01.2 00:00:00.3,1
6,17,Ogier  S.  /  Landais  Vincent  Toyota GR Yaris Rally1 Hybrid,RC1,00:02:26.2,78.80 0.41,00:00:01.3 00:00:00.1,1
7,6,Sordo  Dani  /  Carrera  C.  Hyundai i20 N Rally1 Hybrid,RC1,00:02:26.7,78.53 0.56,00:00:01.8 00:00:00.5,1
8,33,Evans  Elfyn  /  Martin  Scott  Toyota GR Yaris Rally1 Hybrid,RC1,00:02:26.9,78.42 0.63,00:00:02.0 00:00:00.2,1
9,7,Loubet  P.  /  Gilsoul  Nicolas  Ford Puma Rally1 Hybrid,RC1,00:02:27.0,78.37 0.66,00:00:02.1 00:00:00.1,1
10,22,Solberg  Oliver  /  Edmondson  E.  Škoda Fabia RS Rally2,RC2,00:02:29.5,77.06 1.44,00:00:04.6 00:00:02.5,1
11,37,Marczyk  Miko  /  Gospodarczyk  S.  Škoda Fabia RS Rally2,RC2,00:02:29.7,76.95 1.50,00:00:04.8 00:00:00.2,1
12,23,Mikkelsen  A.  /  Eriksen  T.  Škoda Fabia RS Rally2,RC2,00:02:30.0,76.80 1.59,00:00:05.1 00:00:00.3,1
13,29,Kajetanowicz  K.  /  Szczepaniak  M.  Škoda Fabia RS Rally2,RC2,00:02:30.4,76.60 1.72,00:00:05.5 00:00:00.4,1
14,26,Lindholm  Emil  /  Hämäläinen  R.  Škoda Fabia RS Rally2,RC2,00:02:30.8,76.39 1.84,00:00:05.9 00:00:00.4,1
15,36,Linnamäe  Georg  /  Morgan  James  Hyundai i20 N Rally2,RC2,00:02:31.0,76.29 1.91,00:00:06.1 00:00:00.2,1
16,35,Cachon  A.  /  Lopez  Alejandro  Citroën C3 Rally2,RC2,00:02:31.2,76.19 1.97,00:00:06.3 00:00:00.2,1
17,41,Cais  Erik  /  Těšínský  P.  Škoda Fabia RS Rally2,RC2,00:02:31.3,76.14 2.00,00:00:06.4 00:00:00.1,1
18,31,Zaldivar  F.  /  Der Ohannesian  M.  Hyundai i20 N Rally2,RC2,00:02:31.4,76.09 2.03,00:00:06.5 00:00:00.1,1
19,27,Fourmaux  Adrien  /  Coria  Alexandre  Ford Fiesta Rally2 MkII,RC2,00:02:31.7,75.94 2.12,00:00:06.8 00:00:00.3,1
20,38,McErlean  Joshua  /  Rowan  John  Hyundai i20 N Rally2,RC2,00:02:31.9,75.84 2.19,00:00:07.0 00:00:00.2,1
21,32,Pajari  Sami  /  Mälkönen  Enni  Škoda Fabia RS Rally2,RC2,00:02:32.0,75.79 2.22,00:00:07.1 00:00:00.1,1
22,20,Rossel  Yohan  /  Dunand  Arnaud  Citroën C3 Rally2,RC2,00:02:32.1,75.74 2.25,00:00:07.2 00:00:00.1,1
23,24,Gryazin  Nikolay  /  Aleksandrov  K.  Škoda Fabia RS Rally2,RC2,00:02:32.2,75.69 2.28,00:00:07.3 00:00:00.1,1
24,34,Bulacia  Bruno  /  Coronado  Axel  Škoda Fabia Rally2 Evo,RC2,00:02:32.3,75.64 2.31,00:00:07.4 00:00:00.1,1
25,21,Greensmith  Gus  /  Andersson  Jonas  Škoda Fabia RS Rally2,RC2,00:02:32.6,75.49 2.41,00:00:07.7 00:00:00.3,1
26,46,Prokop  Martin  /  Ernst  Michal  Škoda Fabia RS Rally2,RC2,00:02:33.0,75.29 2.53,00:00:08.1 00:00:00.4,1
27,40,Virves  Robert  /  Magalhães  Hugo  Ford Fiesta Rally2 MkII,RC2,00:02:33.3,75.15 2.63,00:00:08.4 00:00:00.3,1
